DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/02/2018,14:10,,,40.58562,-73.95486,"(40.58562, -73.95486)",SHORE PARKWAY                   ,EAST 14 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3874343,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/02/2018,14:25,,,40.749283,-73.756645,"(40.749283, -73.756645)",LONG ISLAND EXPRESSWAY          ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3873935,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/02/2018,14:28,MANHATTAN,10001,40.74777,-74.000404,"(40.74777, -74.000404)",WEST 25 STREET                  ,9 AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3874987,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/02/2018,14:30,BROOKLYN,11228,40.623688,-74.01467,"(40.623688, -74.01467)",76 STREET                       ,10 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3874742,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/02/2018,14:30,QUEENS,11377,40.75302,-73.90982,"(40.75302, -73.90982)",,,51-35     NORTHERN BOULEVARD            ,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3873943,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/02/2018,14:30,STATEN ISLAND,10305,40.585804,-74.08756,"(40.585804, -74.08756)",CROMWELL AVENUE                 ,MASON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3873995,PASSENGER VEHICLE,PICK-UP TRUCK,,,
04/02/2018,14:30,,,40.82325,-73.88277,"(40.82325, -73.88277)",BRUCKNER BOULEVARD              ,BRONX RIVER AVENUE,,2,0,0,0,0,0,2,0,Unsafe Speed,Unspecified,Unspecified,,,3876801,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
04/02/2018,14:40,MANHATTAN,10036,40.760822,-73.99832,"(40.760822, -73.99832)",WEST 42 STREET                  ,11 AVENUE,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3875638,TAXI,TAXI,,,
04/02/2018,14:40,QUEENS,11354,40.76401,-73.82778,"(40.76401, -73.82778)",,,138-46    NORTHERN BOULEVARD            ,0,0,0,0,0,0,0,0,Unspecified,,,,,3874121,SPORT UTILITY / STATION WAGON,,,,
04/02/2018,14:40,,,40.66322,-73.893654,"(40.66322, -73.893654)",RIVERDALE AVENUE                ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3874297,TK,SPORT UTILITY / STATION WAGON,,,
